Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,GO Allegrini,"Desarrollo local, educación e identidad cultural",2003,Estudios sobre educación,revistas.unav.edu,https://revistas.unav.edu/index.php/estudios-sobre-educacion/article/view/25632,"https://scholar.google.com/scholar?cites=14005409179517668365&as_sdt=2005&sciodt=0,5&hl=en",21,09/05/22 09:46,,,,,,,,,49,2.58,49,1,19,… e identidad cultural Hay en nuestra sociedad un debate abierto sobre la relación existente entre la identidad cultural … de esa identidad cultural para lograr un desarrollo local sostenible. …,https://revistas.unav.edu/index.php/estudios-sobre-educacion/article/download/25632/22364,"https://scholar.google.com/scholar?q=related:DUwl53E1XcIJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
73,"JV Estévez, J Vergara",Cuatro tesis sobre la identidad cultural latinoamericana una reflexión sociológica,2002,Revista de Ciencias Sociales (Cl),redalyc.org,https://www.redalyc.org/pdf/708/70801206.pdf,"https://scholar.google.com/scholar?cites=7804716879790499542&as_sdt=2005&sciodt=0,5&hl=en",22,09/05/22 09:46,PDF,,,,,,,,73,3.65,37,2,20,"… El artículo expone las cuatro tesis fundamentales acerca de la identidad cultural latinoamericana. Recurriendo al debate teórico sobre el concepto de identidad cultural, plantea …",https://www.redalyc.org/pdf/708/70801206.pdf,"https://scholar.google.com/scholar?q=related:1mZoqKbsT2wJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
39,B Subercaseaux,Caminos interferidos: De lo político a lo cultural (Reflexiones sobre la identidad cultural),1999,Estudios públicos,estudiospublicos.cl,https://estudiospublicos.cl/index.php/cep/article/download/983/1716,"https://scholar.google.com/scholar?cites=10516452236243066856&as_sdt=2005&sciodt=0,5&hl=en",23,09/05/22 09:46,PDF,,,,,,,,39,1.70,39,1,23,… ay quienes distinguen el concepto de identidad nacional del concepto de identidad cultural. … entiende por identidad cultural? La visión más tradicional concibe a la identidad cultural de …,https://estudiospublicos.cl/index.php/cep/article/download/983/1716,"https://scholar.google.com/scholar?q=related:6F-hHpfx8ZEJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
62,Y Ramírez,"Las fiestas populares tradicionales, reflejo de la identidad cultural de las comunidades",2015,Revista Caribeña de Ciencias Sociales,eumed.net,https://www.eumed.net/rev/caribe/2015/05/fiestas.zip,"https://scholar.google.com/scholar?cites=15414188500774075728&as_sdt=2005&sciodt=0,5&hl=en",24,09/05/22 09:46,PDF,,,,,,,,62,8.86,62,1,7,… identidad cultural de un pueblo según su tradición. El presente artículo hace referencia a los conceptos emitidos por diferentes autores acerca de la identidad cultural… identidad cultural. …,https://www.eumed.net/rev/caribe/2015/05/fiestas.zip,"https://scholar.google.com/scholar?q=related:UL2MCcYy6tUJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
43,C Ranaboldo,Identidad cultural y desarrollo territorial rural,2006,"Seminario internacional “Estado, desarrollo rural y …",rimisp.org,https://rimisp.org/wp-content/files_mf/135938091514.pdf,"https://scholar.google.com/scholar?cites=16071042870766890833&as_sdt=2005&sciodt=0,5&hl=en",25,09/05/22 09:46,PDF,,,,,,,,43,2.69,43,1,16,… identidad cultural puede constituir una estrategia efectiva de desarrollo sustentable e incluyente de dichos territorios. Al señalar la valorización de la identidad cultural … identidad cultural …,https://rimisp.org/wp-content/files_mf/135938091514.pdf,"https://scholar.google.com/scholar?q=related:UW8iylfQB98J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
57,EM Guijarro,La identidad cultural como patrimonio inmaterial: relaciones dialécticas con el desarrollo,2006,Theoria,redalyc.org,https://www.redalyc.org/pdf/299/29915109.pdf,"https://scholar.google.com/scholar?cites=2935757655771933261&as_sdt=2005&sciodt=0,5&hl=en",26,09/05/22 09:46,PDF,,,,,,,,57,3.56,57,1,16,"… entre el capital social y la identidad cultural, entendidas como formas de patrimonio … los puntos anteriormente mencionados (sobre identidad cultural y capital social), considerándose la …",https://www.redalyc.org/pdf/299/29915109.pdf,"https://scholar.google.com/scholar?q=related:TWrrmgjovSgJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
31,RD Rivas,La artesanía: patrimonio e identidad cultural,2018,"Revista de Museología"" Kóot""",camjol.info,https://www.camjol.info/index.php/KOOT/article/view/5908,"https://scholar.google.com/scholar?cites=12909273374818241390&as_sdt=2005&sciodt=0,5&hl=en",27,09/05/22 09:46,,,,,,,,,31,7.75,31,1,4,"… En este artículo se plantea la importancia que tiene el sector artesanal en el fenómeno de la identidad cultural de los pueblos y además, conceptualiza lo que entendemos como …",https://www.camjol.info/index.php/KOOT/article/download/5908/5883,"https://scholar.google.com/scholar?q=related:bgtz9rzzJrMJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
68,S Uribe,"La identidad cultural y el desarrollo territorial rural, una aproximación desde Colombia",2006,RIMISP Territorios con identidad cultural,recursos.salonesvirtuales.com,https://recursos.salonesvirtuales.com/assets/bloques/Soto_URIBE_desarrolloterritorialrural.pdf,"https://scholar.google.com/scholar?cites=2869055393505359854&as_sdt=2005&sciodt=0,5&hl=en",28,09/05/22 09:46,PDF,,,,,,,,68,4.25,68,1,16,… en productos y servicios con identidad cultural consideradas como referencias importantes para el … rural a partir de la puesta en valor de los productos y servicios con identidad cultural. …,https://recursos.salonesvirtuales.com/assets/bloques/Soto_URIBE_desarrolloterritorialrural.pdf,"https://scholar.google.com/scholar?q=related:7jfO8q3u0CcJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
41,CM Vargas Ortiz de Zevallos,Estrategias didácticas para el desarrollo de la identidad cultural en educación primaria,2014,,repositorio.minedu.gob.pe,http://repositorio.minedu.gob.pe/handle/20.500.12799/3449,"https://scholar.google.com/scholar?cites=682959643160669171&as_sdt=2005&sciodt=0,5&hl=en",29,09/05/22 09:46,,,,,,,,,41,5.13,41,1,8,"… ayuda a desarrollar la identidad cultural de cada niño y niña que … en el desarrollo de la identidad cultural de sus alumnos y … el desarrollo de nuestra identidad cultural, favorecerá a los …",https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/3449/Estrategias%20did%C3%A1cticas%20para%20el%20desarrollo%20de%20la%20identidad%20cultural%20en%20educaci%C3%B3n%20primaria.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:8-uETi1cegkJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
35,"PN Urrutia, VM Le-Quesne",La identidad cultural como fuente de aprendizaje significativo,2005,Geoenseñanza,redalyc.org,https://www.redalyc.org/pdf/360/36010208.pdf,"https://scholar.google.com/scholar?cites=10433479407297614473&as_sdt=2005&sciodt=0,5&hl=en",30,09/05/22 09:46,PDF,,,,,,,,35,2.06,18,2,17,… La identidad cultural como fuente de aprendizaje y el … de trabajar con la identidad cultural como contenido y metodología … en Identidad cultural tanto a nivel nacional como a nivel local. …,https://www.redalyc.org/pdf/360/36010208.pdf,"https://scholar.google.com/scholar?q=related:idJT8z0qy5AJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
